PY,DE,frequency
2000,sustainable development,7
2001,sustainable development,3
2002,sustainable development,9
2003,sustainable development,6
2004,sustainable development,7
2005,sustainable development,9
2006,circular economy,1
2006,sustainable development,9
2007,circular economy,2
2007,sustainable development,14
2008,circular economy,2
2008,sustainable development,3
2009,circular economy,1
2009,sustainable development,12
2010,circular economy,4
2010,sustainable development,9
2011,circular economy,4
2011,sustainable development,7
2012,circular economy,1
2012,sustainable development,8
2013,circular economy,4
2013,sustainable development,7
2014,circular economy,2
2014,sustainable development,8
2015,circular economy,15
2015,sustainable development,23
2016,circular economy,22
2016,sustainable development,25
2017,circular economy,55
2017,sustainable development,36
2018,circular economy,48
2018,sustainable development,41
2019,circular economy,62
2019,sustainable development,43
2020,circular economy,96
2020,sustainable development,47
2021,circular economy,64
2021,sustainable development,61
2022,circular economy,31
2022,sustainable development,48
2023,circular economy,16
2023,sustainable development,34
2024,circular economy,1
2024,sustainable development,8
