Paper         ,DOI,TC,TCperYear,NTC
Transforming Our World: The 2030 Agenda for Sustainable Development                                                                                          ,10.1891/9780826190123.ap02     ,19549,2172,26.03
The Circular Economy – A new sustainability paradigm?                                                                                                        ,10.1016/j.jclepro.2016.12.048  , 7773, 707, 8.94
Conceptualizing the circular economy: An analysis of 114 definitions                                                                                         ,10.1016/j.resconrec.2017.09.005, 7212, 721,10.72
Transforming our world: the 2030 Agenda for Sustainable Development                                                                                          ,10.5040/9781509934058.0025     , 6788,1358,20.71
A review on circular economy: the expected transition to a balanced interplay of environmental and economic systems                                          ,10.1016/j.jclepro.2015.09.007  , 5906, 492, 6.07
Climate Change 2021 – The Physical Science Basis                                                                                                             ,10.1017/9781009157896          , 5677,1419,36.82
ESG and financial performance: aggregated evidence from more than 2000 empirical studies                                                                     ,10.1080/20430795.2015.1118917  , 3793, 316, 3.90
High-quality health systems in the Sustainable Development Goals era: time for a revolution                                                                  ,10.1016/s2214-109x(18)30386-3  , 3701, 411, 4.93
The Sustainable Development Goals Report 2019                                                                                                                ,10.18356/55eb9109-en           , 3568, 446, 8.55
Circular Economy: The Concept and its Limitations                                                                                                            ,10.1016/j.ecolecon.2017.06.041 , 3513, 351, 5.22
"Global, regional, and national causes of under-5 mortality in 2000–15: an updated systematic analysis with implications for the Sustainable Development Goals",10.1016/s0140-6736(16)31593-8  , 3505, 319, 4.03
Knowledge systems for sustainable development                                                                                                                ,10.1073/pnas.1231332100        , 3489, 145, 4.41
Product design and business model strategies for a circular economy                                                                                          ,10.1080/21681015.2016.1172124  , 3452, 314, 3.97
"World health statistics 2016 : monitoring health for the SDGs, sustainable development goals                                                                 ",                               , 3359, 305, 3.86
The Lancet Commission on global mental health and sustainable development                                                                                    ,10.1016/s0140-6736(18)31612-x  , 3222, 358, 4.29
The Circular Economy: An Interdisciplinary Exploration of the Concept and Application in a Global Context                                                    ,10.1007/s10551-015-2693-2      , 3083, 257, 3.17
The World report on ageing and health: a policy framework for healthy ageing                                                                                 ,10.1016/s0140-6736(15)00516-4  , 2910, 242, 2.99
Resilience and Sustainable Development: Building Adaptive Capacity in a World of Transformations                                                             ,10.1579/0044-7447-31.5.437     , 2875, 115, 2.59
Evolving sustainably: a longitudinal study of corporate sustainable development                                                                              ,10.1002/smj.441                , 2774, 121, 3.50
Managing nitrogen for sustainable development                                                                                                                ,10.1038/nature15743            , 2756, 230, 2.83
