Authors       ,Articles,Authors       ,Articles Fractionalized
NA                             ,4,NA                             ,4.00
Sunday B. Akpan                ,3,Agbeno Yao                     ,2.00
Ujwala Kambali                 ,3,Luyu Pan                       ,2.00
Veronica S. Nkanta             ,3,Mekonnen Gebreslasie Gebrehiwot,2.00
Agbeno Yao                     ,2,World Bank Group               ,2.00
Akhilesh Sharma                ,2,Ujwala Kambali                 ,1.50
Authur Masuka                  ,2,Turvey Calum G.                ,1.25
Calum G. Turvey                ,2,A.a Awe                        ,1.00
Edet J. Udoh                   ,2,Adamu Heruy                    ,1.00
Eric Bett                      ,2,Aimable Nsabimana              ,1.00
Ibrahim Macharia               ,2,Anyanwu So                     ,1.00
Inimfon V. Patrick             ,2,Benoit Kafando                 ,1.00
Luyu Pan                       ,2,Calum G. Turvey                ,1.00
M Anshari                      ,2,Christopher Ikechukwu Ifeacho  ,1.00
Mekonnen Gebreslasie Gebrehiwot,2,Diego Bitencourt De David      ,1.00
Mr. P. Narasimha Murty         ,2,Elly Kyalo Musembi             ,1.00
Nathan Kanuma Taremwa          ,2,Güneş Erdoğan                  ,1.00
Niyaz                          ,2,Hill Brian J Hill              ,1.00
Simbarashe Tatsvarei           ,2,Kayode David Kolawole          ,1.00
Tanyaradzwa Rukasha            ,2,Kundu Dipak                    ,1.00
