period,ID,frequency
2000-2010,political science,88
2000-2010,sustainable development,88
2000-2010,business,79
2000-2010,economics,59
2000-2010,sustainability,48
2000-2010,ecology,44
2000-2010,engineering,44
2000-2010,computer science,43
2000-2010,sociology,37
2000-2010,geography,33
2000-2010,public relations,26
2000-2010,environmental resource management,25
2000-2010,environmental planning,23
2000-2010,law,22
2000-2010,corporate social responsibility,21
2000-2010,environmental economics,21
2000-2010,environmental science,21
2000-2010,corporate governance,18
2000-2010,process management,16
2000-2010,environmental ethics,15
2011-2017,business,154
2011-2017,economics,146
2011-2017,political science,119
2011-2017,sustainable development,114
2011-2017,circular economy,103
2011-2017,computer science,90
2011-2017,engineering,85
2011-2017,sustainability,84
2011-2017,ecology,78
2011-2017,marketing,46
2011-2017,geography,43
2011-2017,environmental economics,42
2011-2017,industrial organization,35
2011-2017,sociology,35
2011-2017,environmental resource management,33
2011-2017,process management,31
2011-2017,economic system,30
2011-2017,natural resource economics,30
2011-2017,management science,28
2011-2017,economic growth,27
2018-2025,business,523
2018-2025,economics,442
2018-2025,circular economy,318
2018-2025,sustainable development,282
2018-2025,political science,241
2018-2025,engineering,240
2018-2025,computer science,234
2018-2025,sustainability,223
2018-2025,ecology,179
2018-2025,industrial organization,154
2018-2025,environmental economics,143
2018-2025,marketing,137
2018-2025,corporate governance,110
2018-2025,natural resource economics,101
2018-2025,geography,84
2018-2025,context archaeology,81
2018-2025,waste management,81
2018-2025,economic growth,79
2018-2025,process management,74
2018-2025,accounting,72
