CU,articles
India,30
Utrecht University,17
Delft University of Technology,16
KTH Royal Institute of Technology,15
University of Cambridge,14
University of Oxford,13
Norwegian University of Science and Technology,12
Tsinghua University,10
International Institute for Applied Systems Analysis,9
Montpellier Business School,9
Technical University of Denmark,9
Universidade de São Paulo,9
University of Manchester,9
University of Sheffield,9
University of Southern Denmark,9
Aalborg University,8
Imperial College London,8
Shanghai Jiao Tong University,8
University of Leeds,8
World Health Organization,8
